product_id;tariff;code;child_code_1;child_count_1;child_code_2;child_count_2;child_code_3;child_count_3;child_code_4;child_count_4;period;region_id;profrole_group_id;price_all;currency
907283;;DI;CIV;1280;API_LIMITED;12800;;;;;30;3000233;0;15693600;RUR
907287;;DI;CIV;3200;API_LIMITED;32000;;;;;92;3000233;0;38624600;RUR
907291;;DI;CIV;5350;API_LIMITED;53500;;;;;183;3000233;0;63344500;RUR
907295;;DI;CIV;9000;API_LIMITED;90000;;;;;365;3000233;0;103864400;RUR
907304;;DI;CIV;700;API_LIMITED;7000;;;;;30;1000001;0;8512000;RUR
907305;;DI;CIV;700;API_LIMITED;7000;;;;;30;1000233;0;7802200;RUR
907308;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000232;0;7256500;RUR
907310;;DI;CIV;1750;API_LIMITED;17500;;;;;92;1000001;0;20938900;RUR
907311;;DI;CIV;1750;API_LIMITED;17500;;;;;92;1000233;0;19199300;RUR
907314;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000232;0;17817100;RUR
907316;;DI;CIV;2900;API_LIMITED;29000;;;;;183;1000001;0;34329100;RUR
907317;;DI;CIV;2900;API_LIMITED;29000;;;;;183;1000233;0;31474600;RUR
907320;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000232;0;29235000;RUR
907322;;DI;CIV;5000;API_LIMITED;50000;;;;;365;1000001;0;56312000;RUR
907323;;DI;CIV;5000;API_LIMITED;50000;;;;;365;1000233;0;51633600;RUR
907326;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000232;0;47951400;RUR
907328;;DI;CIV;220;API_LIMITED;2200;;;;;30;1169;0;537200;RUR
907329;;DI;CIV;220;API_LIMITED;2200;;;;;30;1216;0;639400;RUR
907330;;DI;CIV;220;API_LIMITED;2200;;;;;30;1434;0;651200;RUR
907331;;DI;CIV;220;API_LIMITED;2200;;;;;30;1463;0;566300;RUR
907332;;DI;CIV;220;API_LIMITED;2200;;;;;30;1941;0;485800;RUR
907333;;DI;CIV;220;API_LIMITED;2200;;;;;30;1943;0;584000;RUR
907334;;DI;CIV;220;API_LIMITED;2200;;;;;30;1946;0;534400;RUR
907335;;DI;CIV;220;API_LIMITED;2200;;;;;30;1982;0;485800;RUR
907336;;DI;CIV;220;API_LIMITED;2200;;;;;30;2000236;0;4367200;RUR
907338;;DI;CIV;540;API_LIMITED;5400;;;;;92;1169;0;1364900;RUR
907339;;DI;CIV;540;API_LIMITED;5400;;;;;92;1216;0;1624300;RUR
907340;;DI;CIV;540;API_LIMITED;5400;;;;;92;1434;0;1486100;RUR
907341;;DI;CIV;540;API_LIMITED;5400;;;;;92;1463;0;1292300;RUR
907342;;DI;CIV;540;API_LIMITED;5400;;;;;92;1941;0;1230200;RUR
907343;;DI;CIV;540;API_LIMITED;5400;;;;;92;1943;0;1479100;RUR
907344;;DI;CIV;540;API_LIMITED;5400;;;;;92;1946;0;1353200;RUR
907345;;DI;CIV;540;API_LIMITED;5400;;;;;92;1982;0;1230200;RUR
907346;;DI;CIV;540;API_LIMITED;5400;;;;;92;2000236;0;11120300;RUR
907348;;DI;CIV;900;API_LIMITED;9000;;;;;183;1169;0;2265100;RUR
907349;;DI;CIV;900;API_LIMITED;9000;;;;;183;1216;0;2695700;RUR
907350;;DI;CIV;900;API_LIMITED;9000;;;;;183;1434;0;2321000;RUR
907351;;DI;CIV;900;API_LIMITED;9000;;;;;183;1463;0;2018300;RUR
907352;;DI;CIV;900;API_LIMITED;9000;;;;;183;1941;0;2050000;RUR
907353;;DI;CIV;900;API_LIMITED;9000;;;;;183;1943;0;2464700;RUR
907354;;DI;CIV;900;API_LIMITED;9000;;;;;183;1946;0;2254900;RUR
907355;;DI;CIV;900;API_LIMITED;9000;;;;;183;1982;0;2050000;RUR
907356;;DI;CIV;900;API_LIMITED;9000;;;;;183;2000236;0;17007400;RUR
907358;;DI;CIV;1500;API_LIMITED;15000;;;;;365;1169;0;3528400;RUR
907359;;DI;CIV;1500;API_LIMITED;15000;;;;;365;1216;0;4199000;RUR
907360;;DI;CIV;1500;API_LIMITED;15000;;;;;365;1434;0;4291400;RUR
907361;;DI;CIV;1500;API_LIMITED;15000;;;;;365;1463;0;3731600;RUR
907362;;DI;CIV;1500;API_LIMITED;15000;;;;;365;1941;0;3187800;RUR
907363;;DI;CIV;1500;API_LIMITED;15000;;;;;365;1943;0;3865900;RUR
907364;;DI;CIV;1500;API_LIMITED;15000;;;;;365;1946;0;3506600;RUR
907365;;DI;CIV;1500;API_LIMITED;15000;;;;;365;1982;0;3187800;RUR
907366;;DI;CIV;1500;API_LIMITED;15000;;;;;365;2000236;0;28781700;RUR
907379;;DI;CIV;990;API_LIMITED;9900;;;;;30;2000231;0;12528300;RUR
907380;;DI;CIV;2470;API_LIMITED;24700;;;;;92;2000231;0;30826400;RUR
907381;;DI;CIV;4100;API_LIMITED;41000;;;;;183;2000231;0;50546300;RUR
907382;;DI;CIV;7000;API_LIMITED;70000;;;;;365;2000231;0;82902900;RUR
907392;;DI;CIV;330;API_LIMITED;3300;;;;;30;1563;0;2304400;RUR
907393;;DI;CIV;820;API_LIMITED;8200;;;;;92;1563;0;5865600;RUR
907394;;DI;CIV;1370;API_LIMITED;13700;;;;;183;1563;0;9699000;RUR
907395;;DI;CIV;2300;API_LIMITED;23000;;;;;365;1563;0;15145700;RUR
907396;;DI;CIV;280;API_LIMITED;2800;;;;;30;1553;0;1089000;RUR
907397;;DI;CIV;680;API_LIMITED;6800;;;;;92;1553;0;2831400;RUR
907398;;DI;CIV;1130;API_LIMITED;11300;;;;;183;1553;0;4138200;RUR
907399;;DI;CIV;1900;API_LIMITED;19000;;;;;365;1553;0;7231000;RUR
